<PAD>	1000000000
<UNK>	1000000000
<S>	1000000000
</S>	1000000000
I	82
you	77
to	72
a	55
the	52
You	40
me	28
that	27
and	26
of	26
with	25
it	23
my	21
go	21
know	20
do	18
out	18
not	18
like	18
your	17
in	15
is	15
on	15
just	15
this	14
for	14
was	14
get	14
don't	13
have	13
her	13
I'm	12
but	11
be	11
And	11
he	11
The	11
What	10
You're	10
are	10
we	10
think	10
up	10
what	10
No	9
one	9
him	9
say	8
at	8
So	8
want	8
thought	8
It's	8
had	7
about	7
all	7
never	7
she	7
can't	7
if	7
got	7
Bianca	7
He	7
Daddy	7
even	7
were	7
some	6
could	6
when	6
school	6
I'd	6
Joey	6
people	6
you're	6
Yeah	6
right	6
where	5
She	5
good	5
always	5
that's	5
did	5
party	5
sister	5
going	5
someone	5
then	5
start	5
mind	5
here	5
'	5
didn't	5
But	5
tell	5
so	5
there	5
big	5
who	5
life	4
Then	4
wanted	4
guy	4
really	4
date	4
Where	4
Forget	4
How	4
does	4
Kat	4
Hey	4
That's	4
let	4
own	4
because	4
doing	4
told	4
need	4
normal	4
see	4
Why	4
Oh	4
yourself	4
Do	4
from	4
their	4
Don't	4
off	4
by	3
They	3
okay	3
Like	3
She's	3
wanna	3
Not	3
use	3
sweet	3
Well	3
how	3
point	3
head	3
This	3
only	3
or	3
something	3
Dorsey	3
Is	3
can	3
it's	3
last	3
night	3
else	3
said	3
went	3
s	3
hate	3
sit	3
any	3
talk	3
completely	3
you've	3
heard	3
Who	3
Because	3
won't	3
It	3
Can	3
minute	3
expect	3
an	3
ask	3
part	3
his	3
Sure	3
he's	3
matter	3
seen	3
actually	3
they	3
you'll	3
would	3
William	3
Sarah	3
Lawrence	3
show	3
What's	3
When	3
lie	3
My	3
Gallo	2
beautiful	2
wearing	2
stuff	2
God	2
story	2
looked	2
Have	2
Hi	2
two	2
ever	2
there's	2
might	2
French	2
much	2
find	2
high	2
Cameron	2
Okay	2
Night	2
home	2
give	2
dating	2
deal	2
doesn't	2
class	2
make	2
everyone	2
Just	2
wasn't	2
pissed	2
Now	2
care	2
Listen	2
act	2
too	2
Shakespeare	2
At	2
least	2
Bogey	2
listening	2
ruining	2
means	2
men	2
Fine	2
He's	2
hot	2
prom	2
before	2
as	2
boy	2
girls	2
hey	2
making	2
already	2
pretty	2
favorite	2
hates	2
Patrick	2
Katarina	2
those	2
we've	2
still	2
mean	2
number	2
Their	2
guys	2
them	2
until	2
Stratford	2
thousand	2
Get	2
old	2
girl	2
What'd	2
man	2
play	2
I've	2
How'd	2
time	2
control	2
Uh	2
We're	2
no	2
wrong	2
taking	2
hell	2
has	2
very	2
way	2
gone	2
year	2
porn	2
band	2
money	2
Look	2
Start	2
down	2
Excuse	2
type	2
Why'd	2
concussion	2
sleep	2
urlhttpwwwtedcomtalksdavidgalloonlifeinthedeepoceansurl	1
keywordstalks	1
TED	1
Conference	1
animals	1
geology	1
oceans	1
science	1
submarine	1
technologykeywords	1
speakerDavid	1
Gallospeaker	1
talkidtalkid	1
titleDavid	1
Life	1
deep	1
oceanstitle	1
descriptionTED	1
Talk	1
Subtitles	1
Transcript	1
With	1
vibrant	1
video	1
clips	1
captured	1
submarines	1
David	1
takes	1
us	1
Earth's	1
darkest	1
most	1
violent	1
toxic	1
habitats	1
valleys	1
volcanic	1
ridges	1
oceans'	1
depths	1
bizarre	1
resilient	1
shockingly	1
abundantdescription	1
Wow	1
fear	1
pastels	1
Thank	1
If	1
hear	1
more	1
coiffure	1
crap	1
been	1
selfish	1
'me	1
back	1
seemed	1
occupied	1
fun	1
tonight	1
Chastity	1
kind	1
likes	1
Pretty	1
ones	1
unless	1
goes	1
Eber's	1
Deep	1
Conditioner	1
every	1
days	1
blowdryer	1
without	1
diffuser	1
attachment	1
counted	1
help	1
cause	1
thug	1
obviously	1
failing	1
Aren't	1
our	1
though	1
useful	1
things	1
stores	1
champagne	1
cost	1
Stuff	1
Chat	1
C'esc	1
ma	1
tete	1
Gosh	1
boyfriend	1
Unsolved	1
mystery	1
used	1
popular	1
started	1
sick	1
Seems	1
easy	1
enough	1
'bout	1
try	1
cuisine	1
Saturday	1
we'd	1
pronunciation	1
'til	1
All	1
private	1
line	1
highlights	1
include	1
dooropening	1
coatholding	1
oily	1
dry	1
Would	1
getting	1
drink	1
t	1
concentrating	1
awfully	1
hard	1
considering	1
gym	1
cheeks	1
Neat	1
Queen	1
Harry	1
Hopefully	1
Expensive	1
Perm	1
Let	1
experiences	1
trust	1
guess	1
protecting	1
After	1
swore	1
anything	1
haven't	1
since	1
Except	1
Bogey's	1
stunning	1
gastrointestinal	1
display	1
once	1
Afterwards	1
anymore	1
ready	1
broke	1
Back	1
different	1
total	1
babe	1
In	1
th	1
For	1
month	1
firm	1
believer	1
reasons	1
having	1
Susie	1
High	1
School	1
totally	1
apeshit	1
unbalanced	1
Maybe	1
clouted	1
fen	1
sucked	1
hedgepig	1
Lowenstein's	1
busy	1
Bitches	1
Need	1
Prozac	1
life'	1
Gigglepuss	1
playing	1
Club	1
Skunk	1
we're	1
bra	1
Nowhere	1
captain	1
oppression	1
prisoner	1
house	1
daughter	1
possession	1
rod	1
Whatever	1
discuss	1
tomorrow	1
Wear	1
belly	1
starting	1
Otherwise	1
known	1
orgy	1
where're	1
Exactly	1
fair	1
she's	1
mutant	1
starts	1
upset	1
Padua	1
One	1
tall	1
decent	1
body	1
other	1
kinda	1
short	1
undersexed	1
Fan	1
fan	1
couple	1
minors	1
come	1
Always	1
pleasure	1
Brucie	1
humiliated	1
woman	1
Sacrifice	1
altar	1
dignity	1
score	1
Buttholus	1
extremus	1
progress	1
Extremely	1
unfortunate	1
maneuver	1
Assail	1
ears	1
Her	1
uncle	1
Number	1
smokers	1
Will	1
bent	1
A	1
golden	1
opportunity	1
involved	1
hated	1
reputation	1
plan	1
felons	1
Honors	1
Biology	1
seems	1
thrives	1
danger	1
Unlikely	1
what's	1
mewling	1
rampalian	1
wretch	1
herself	1
minor	1
encounter	1
shrew	1
chance	1
Mom's	1
Canada	1
Permashitgrin	1
wish	1
moron	1
twelve	1
model	1
Mostly	1
regional	1
rumored	1
tube	1
sock	1
ad	1
coming	1
they're	1
bred	1
mothers	1
liked	1
grandmothers	1
gene	1
pool	1
rarely	1
diluted	1
haircut	1
allowed	1
older	1
impossibility	1
Sophomore	1
burn	1
pine	1
perish	1
these	1
horse	1
jack	1
Clint	1
Eastwood	1
Couple	1
Most	1
evil	1
many	1
kidding	1
People	1
live	1
which	1
Dakota	1
makin'	1
headway	1
fire	1
suns	1
direct	1
quote	1
partial	1
whole	1
thing	1
supposed	1
buy	1
noodles	1
book	1
around	1
chicks	1
instruments	1
retrieved	1
certain	1
pieces	1
information	1
Miss	1
helpful	1
we'll	1
why	1
Your	1
ya	1
goin	1
noticed	1
featured	1
Kmart	1
spread	1
elbow	1
Tough	1
break	1
Enough	1
Barbie	1
n'	1
Ken	1
shit	1
human	1
under	1
acts	1
crazed	1
public	1
keep	1
image	1
Fifty	1
thirty	1
gonna	1
pay	1
take	1
you'd	1
cake	1
whatever	1
higher	1
We	1
took	1
bathes	1
together	1
kids	1
yeah	1
friend	1
recruit	1
who'll	1
Someone	1
who's	1
job	1
insane	1
case	1
will	1
run	1
idea	1
interested	1
Nope	1
came	1
chat	1
asked	1
meet	1
re	1
looking	1
perspective	1
statement	1
sound	1
Betty	1
Archie	1
Veronica	1
imagine	1
bastion	1
commercial	1
excess	1
choice	1
Where's	1
done	1
officially	1
opposed	1
suburban	1
social	1
activity	1
this'll	1
work	1
Does	1
Neither	1
heterosexuality	1
huge	1
raging	1
fit	1
insists	1
maledominated	1
puking	1
frat	1
golf	1
team	1
incredibly	1
foul	1
realize	1
fine	1
institution	1
severely	1
lacking	1
killing	1
beyond	1
scope	1
teenage	1
obsessions	1
venturing	1
far	1
past	1
daytime	1
fodder	1
entering	1
world	1
expensive	1
therapy	1
Mandella	1
eat	1
Starving	1
slow	1
die	1
look	1
Pat	1
Verona	1
movies	1
Who's	1
freshman	1
yearbook	1
veggie	1
burger	1
burnt	1
object	1
grill	1
Wait	1
That	1
adorable	1
sorry	1
questioned	1
motives	1
tux	1
Answer	1
question	1
Create	1
little	1
drama	1
new	1
rumor	1
Go	1
knows	1
sexy	1
peas	1
career's	1
duck	1
State	1
trooper	1
Something	1
disappointed	1
change	1
Acting	1
well	1
dazzled	1
wit	1
Good	1
call	1
Partridge	1
Family	1
climb	1
Put	1
foot	1
C'mon	1
bad	1
sunshine	1
Other	1
than	1
upchuck	1
reflex	1
Nothing	1
effect	1
whatsoever	1
panties	1
Unwelcome	1
Pleasant	1
poetry	1
reading	1
Feminine	1
Mystique	1
lost	1
copy	1
BIANCA	1
wants	1
gettin'	1
strike	1
permission	1
weren't	1
Were	1
jail	1
Wake	1
above	1
It'd	1
mainline	1
tequila	1
seem	1
See	1
needs	1
affection	1
blind	1
hatred	1
Leave	1
words	1
shitfaced	1
dog	1
woke	1
vegetable	1
difference	1
uh	1
Raincoats	1
sort	1
Great	1
huh	1
talker	1
laundromat	1
saw	1
car	1
Thought	1
hi	1
Seventhirty	1
Come	1
ponies	1
flat	1
beer	1
eyes	1
hand	1
ass	1
spend	1
Dollar	1
track	1
Eleven	1
Burnside	1
name	1
screwboy	1
Friday	1
mission	1
Sweating	1
pig	1
Christ	1
changed	1
sent	1
'em	1
check	1
fathers	1
admit	1
daughters	1
capable	1
running	1
lives	1
become	1
spectators	1
lets	1
few	1
innings	1
You've	1
bleachers	1
years	1
able	1
watch	1
game	1
Upset	1
rubbed	1
beat	1
Parts	1
Funny	1
Was	1
eighteen	1
fortyfive	1
As	1
parent	1
agree	1
punishing	1
insurance	1
cover	1
PMS	1
whose	1
diary	1
devoted	1
grooming	1
tips	1
decided	1
U	1
reviewer	1
hrefhttpwwwtedcomprofilesElena	1
Montrasioreviewer	1
translator	1
hrefhttpwwwtedcomprofilesGeoffrey	1
Chentranslator	1
